product_id,quantity,created_at
548,2,2001-06-23
1561,2,2013-02-22
1995,1,2017-10-01
1051,3,2008-06-12
111,3,2019-10-06
1870,3,2019-05-16
1702,3,2018-09-27
1776,2,2014-10-10
816,1,2014-07-25
1104,3,2017-03-10
1345,3,2016-01-29
1297,3,2002-03-27
1141,2,2006-02-21
1967,3,2006-11-30
13,2,2021-02-21
148,1,2021-03-15
579,3,2002-10-03
266,2,2006-10-06
790,3,2004-11-30
43,2,2004-09-09
1157,1,2003-07-29
1392,3,2017-01-27
1483,1,2002-02-11
249,2,2001-07-28
1857,2,2010-10-01
370,3,2020-07-02
1826,2,2005-05-14
1101,3,2011-01-07
990,2,2009-07-09
1944,1,2001-12-15
570,2,2013-09-14
653,3,2021-03-21
1809,3,2013-09-01
1523,1,2019-04-18
1048,3,2006-01-17
1452,1,2008-10-26
171,3,2005-07-16
1534,1,2009-05-17
1434,1,2012-06-13
1700,2,2016-03-25
1123,2,2012-08-20
1971,1,2003-01-08
1240,3,2019-09-19
750,2,2007-01-29
1659,1,2013-05-25
665,1,2022-02-22
63,3,2011-01-19
556,2,2020-06-08
1705,2,2018-08-07
1358,1,2010-10-29
1743,1,2006-01-18
148,1,2020-09-02
403,1,2000-01-31
941,1,2003-06-09
1947,1,2016-12-03
197,1,2010-05-02
156,3,2013-04-21
937,1,2016-08-10
789,1,2003-05-13
829,3,2018-09-26
747,1,2002-08-21
1731,2,2002-05-14
807,1,2002-07-26
1186,2,2003-07-10
780,1,2000-05-16
1866,3,2021-01-20
158,1,2000-12-10
1427,1,2018-01-11
1871,2,2012-04-19
750,1,2008-04-23
1245,3,2006-06-03
462,1,2003-03-30
968,3,2011-03-27
1699,2,2015-08-21
1538,1,2007-04-06
560,2,2019-11-02
262,3,2001-10-06
1504,3,2013-02-18
1722,1,2014-01-07
594,2,2022-12-23
1384,2,2014-10-03
1416,1,2004-09-18
713,1,2012-01-17
1493,1,2001-02-02
349,3,2022-09-28
943,1,2007-04-09
191,3,2015-03-12
1860,3,2012-01-08
798,2,2013-12-04
1480,3,2004-04-23
150,1,2002-04-19
1483,3,2019-04-11
401,1,2012-09-29
982,1,2018-09-30
267,3,2005-03-21
1310,2,2022-04-04
27,2,2012-06-12
1053,2,2023-04-25
117,2,2002-02-08
968,2,2003-01-07
1099,3,2007-08-02
724,1,2023-04-07
1372,3,2004-07-06
383,2,2009-01-14
8,2,2009-02-18
766,3,2009-02-28
1728,3,2020-01-01
1167,2,2003-07-06
1147,3,2002-09-16
1505,1,2009-06-10
1905,2,2022-01-24
365,1,2018-01-23
754,3,2008-05-13
293,2,2007-08-17
1124,1,2004-08-31
219,1,2007-07-10
1622,3,2011-03-14
107,3,2018-08-04
358,1,2011-12-22
625,1,2017-03-18
196,2,2015-07-06
340,2,2011-09-01
1336,1,2015-08-22
801,3,2010-04-19
619,2,2004-07-25
1280,1,2013-04-21
1955,2,2003-12-14
1334,2,2014-05-24
1481,2,2014-11-15
200,3,2007-12-24
96,2,2018-03-29
1785,3,2014-07-05
1826,2,2019-11-02
1127,2,2009-06-24
417,3,2000-03-15
1930,2,2009-12-03
1906,1,2004-12-08
1789,2,2016-01-11
361,2,2005-08-15
809,3,2006-12-22
283,2,2001-09-17
1601,1,2010-07-30
1559,1,2001-12-05
1088,2,2008-11-27
721,3,2023-02-18
1276,3,2007-03-09
1045,3,2021-04-07
177,1,2003-10-24
1194,2,2003-09-21
1638,3,2002-10-06
1076,3,2011-09-19
1407,3,2008-07-04
919,3,2007-08-16
623,3,2010-08-26
879,2,2002-08-28
1378,3,2023-06-09
1033,1,2012-05-19
682,2,2018-07-18
69,3,2008-05-23
87,3,2011-06-24
1278,1,2020-08-18
1064,2,2020-06-13
427,3,2006-04-19
1862,2,2001-06-13
1616,1,2007-01-06
1225,1,2018-06-18
1523,1,2003-12-16
1708,1,2022-09-06
295,1,2000-03-11
1114,2,2002-04-29
751,2,2007-10-16
1210,1,2022-08-18
462,3,2005-12-24
1012,2,2006-03-11
1586,2,2000-08-26
867,1,2017-09-25
1781,3,2005-02-03
1496,3,2020-06-16
389,1,2018-04-23
1616,3,2011-12-09
990,3,2022-11-11
1146,1,2017-10-07
1144,2,2023-03-30
1920,2,2016-04-07
680,1,2015-08-19
1952,3,2011-03-25
113,1,2000-06-18
162,3,2012-01-13
1967,2,2009-09-01
1987,3,2023-07-20
948,2,2005-09-07
79,3,2013-04-21
1964,2,2005-10-14
1375,3,2022-02-14
652,1,2017-08-02
1972,3,2013-05-08
499,2,2007-12-27
1195,1,2005-09-26
608,2,2019-06-21
702,3,2012-09-13
400,1,2018-07-29
124,2,2017-06-23
305,2,2018-11-06
80,3,2003-07-02
93,2,2000-10-03
689,3,2017-05-09
1484,3,2013-01-14
80,2,2012-03-18
725,2,2006-11-15
1734,1,2019-01-08
518,3,2021-03-26
1047,2,2010-09-22
126,1,2005-12-12
1519,1,2001-02-27
1197,3,2011-06-20
270,2,2004-12-29
629,2,2023-05-01
772,1,2018-06-16
250,2,2016-04-03
74,1,2004-04-23
1453,3,2007-08-27
1075,1,2008-02-25
318,3,2020-04-12
302,2,2014-02-24
1498,2,2014-10-11
625,2,2006-09-23
514,3,2007-06-14
1040,1,2005-10-20
456,1,2014-07-20
1745,2,2009-11-11
1586,2,2004-05-08
1672,2,2005-01-12
1765,2,2019-03-26
989,3,2011-05-19
694,3,2015-03-26
152,1,2002-11-23
1650,3,2014-11-09
1635,2,2019-10-16
13,3,2008-10-11
336,1,2012-09-10
294,3,2022-03-10
1907,3,2010-03-20
818,3,2013-08-15
155,2,2008-01-31
840,1,2005-01-19
546,1,2014-04-09
1370,3,2015-08-04
1637,3,2012-10-13
725,3,2012-10-24
481,2,2018-12-06
1650,1,2007-04-18
779,3,2006-12-17
356,3,2000-03-21
1276,3,2013-07-30
1864,3,2008-10-29
1850,2,2016-03-31
1696,1,2019-03-20
608,3,2022-11-27
802,3,2013-06-29
1174,2,2014-05-17
1382,2,2004-01-29
703,3,2000-11-24
553,1,2013-01-28
1079,1,2020-12-03
817,2,2008-03-26
903,1,2006-07-07
1936,2,2017-09-22
1787,2,2000-09-28
177,2,2013-02-04
293,2,2006-08-26
1287,3,2004-06-27
300,1,2002-03-25
1289,2,2013-01-16
1537,1,2008-06-20
1215,3,2009-04-23
1286,3,2005-11-02
865,2,2011-07-03
262,1,2012-10-06
397,1,2005-03-20
1595,1,2010-11-27
1358,1,2006-11-30
1214,3,2022-01-13
67,1,2001-06-05
1783,2,2006-11-17
593,1,2006-01-23
703,1,2018-01-10
1281,3,2010-05-31
1784,2,2019-05-30
756,3,2003-07-29
334,2,2003-08-23
1712,2,2002-02-18
1425,2,2020-11-07
1522,3,2004-05-23
1195,2,2000-02-19
687,1,2010-05-11
1372,3,2007-04-27
386,1,2002-02-27
756,1,2014-08-29
1538,3,2010-04-22
763,2,2023-04-28
528,1,2023-12-03
1131,1,2021-04-25
1548,1,2006-04-06
1931,2,2007-03-27
1497,2,2006-11-02
125,1,2013-09-16
413,1,2005-09-27
1692,2,2017-09-15
817,1,2001-01-13
1517,2,2013-11-08
817,1,2022-10-21
1972,3,2021-05-17
982,3,2011-02-16
1466,1,2004-04-30
1742,1,2008-04-29
1297,3,2012-01-29
1342,3,2022-01-18
852,2,2018-01-10
1732,3,2003-01-04
680,2,2022-11-13
788,3,2011-08-02
1961,3,2009-04-03
1916,1,2015-08-08
287,3,2011-08-28
156,3,2021-10-23
1134,3,2018-08-26
1924,3,2002-03-19
1181,1,2023-09-13
1724,2,2009-12-16
1560,1,2005-10-05
1054,2,2009-10-01
1497,2,2007-10-14
1112,2,2012-01-06
30,1,2001-01-19
1932,2,2013-01-06
1027,1,2010-02-11
1641,1,2001-06-19
876,3,2012-05-31
521,1,2011-05-03
714,3,2023-05-06
598,3,2006-01-25
1804,2,2007-06-30
480,3,2005-09-17
1639,1,2020-09-17
22,1,2001-08-05
1628,3,2016-01-06
621,3,2013-07-07
594,3,2013-08-05
676,2,2004-09-20
1750,1,2004-10-16
1757,3,2014-02-19
1021,1,2005-11-02
702,2,2000-04-12
1498,1,2008-11-26
1962,3,2002-01-12
1367,3,2012-07-22
977,3,2023-09-18
1755,3,2012-07-17
234,1,2002-10-19
1301,1,2015-03-23
1242,2,2022-09-12
1844,3,2015-04-20
857,2,2020-07-21
774,3,2012-01-25
599,3,2013-08-06
393,3,2002-02-15
1199,3,2003-10-15
394,1,2002-06-20
1481,3,2015-04-26
750,3,2005-01-01
923,3,2022-10-23
766,2,2018-04-14
1716,3,2020-08-11
1924,1,2004-02-06
292,2,2006-03-31
1909,3,2005-04-04
1155,2,2017-06-20
1196,2,2023-03-24
1901,1,2020-03-09
831,1,2022-12-22
1691,3,2009-06-11
1055,1,2004-04-14
1134,3,2002-02-04
1218,2,2018-04-09
423,1,2003-01-10
350,1,2014-12-12
114,2,2019-09-27
206,1,2008-06-11
1172,2,2016-04-16
411,2,2018-03-23
1231,1,2012-12-16
995,1,2015-08-20
1056,2,2002-10-21
480,2,2010-04-10
799,3,2014-09-15
389,1,2021-01-23
251,3,2007-12-25
1500,1,2017-12-14
19,3,2006-04-10
1697,3,2016-08-20
1068,1,2014-10-25
593,2,2005-03-14
346,2,2022-08-01
102,2,2016-12-30
1616,3,2005-09-13
1656,2,2012-01-24
1640,3,2002-06-11
734,1,2008-12-21
73,2,2010-03-22
1713,2,2012-10-12
1642,2,2007-12-12
77,3,2011-05-10
237,2,2000-01-31
1083,2,2009-03-21
795,3,2018-11-20
564,2,2017-11-04
30,2,2011-06-26
1836,1,2009-05-17
1948,1,2009-01-19
791,2,2019-09-04
589,3,2021-05-05
1771,2,2010-01-03
1933,2,2008-06-18
819,2,2013-04-09
828,3,2011-09-25
750,1,2020-02-25
1560,3,2006-06-22
1482,2,2000-09-09
102,2,2006-11-05
674,3,2012-07-20
985,2,2002-11-04
921,2,2023-01-20
420,1,2021-05-01
267,1,2017-11-15
1357,2,2012-05-21
1105,1,2022-05-19
367,3,2004-12-05
975,2,2004-10-26
1525,2,2020-07-26
1623,2,2006-09-03
932,3,2022-02-28
1815,1,2016-01-31
930,3,2011-05-15
439,3,2013-03-04
22,2,2005-04-26
916,3,2022-01-24
675,2,2004-12-24
437,1,2000-10-15
1302,1,2000-10-27
382,1,2018-12-29
527,2,2000-09-14
1698,1,2018-08-04
568,1,2021-07-11
1512,1,2016-11-20
969,3,2021-10-31
230,3,2017-10-03
1669,1,2001-06-06
1195,2,2012-01-22
1694,2,2020-10-06
1601,2,2016-05-16
436,1,2018-04-27
1990,3,2003-01-21
1689,3,2023-04-16
194,1,2003-02-10
1427,1,2011-04-17
425,3,2021-10-08
884,2,2014-07-17
1536,2,2000-01-04
477,2,2006-05-15
682,1,2021-08-07
887,2,2000-10-08
980,3,2010-08-02
264,1,2021-10-12
1000,1,2009-08-04
1139,2,2003-08-23
1043,2,2009-02-04
1724,3,2006-04-14
1124,3,2010-11-17
912,2,2019-12-20
493,3,2012-04-06
1627,1,2011-10-03
549,2,2011-05-20
1266,2,2011-12-16
463,3,2020-08-06
113,2,2019-04-13
633,1,2013-09-20
875,3,2013-08-03
892,1,2017-03-15
1351,1,2019-03-01
1732,3,2014-10-08
218,1,2020-11-18
886,1,2006-03-26
1645,2,2008-05-31
253,1,2008-10-26
885,3,2007-05-01
943,2,2004-11-20
698,3,2001-12-25
1111,3,2016-08-13
315,1,2016-01-29
274,3,2016-09-22
235,2,2022-05-16
820,1,2013-07-18
460,3,2007-08-27
19,2,2012-07-15
233,3,2022-06-22
1491,1,2008-01-18
1038,2,2006-06-24
677,2,2017-03-29
552,3,2020-07-28
1799,1,2021-05-22
1006,1,2015-08-22
1927,2,2011-11-12
1145,3,2009-11-24
898,1,2016-08-15
1614,3,2018-03-29
1299,3,2005-03-02
1143,1,2021-07-13
1175,1,2018-12-19
1461,1,2014-11-15
879,2,2016-01-10
405,2,2007-06-01
377,1,2019-02-11
1698,3,2010-08-14
597,3,2002-08-03
1428,1,2011-05-24
303,1,2007-07-01
533,3,2002-02-11
841,2,2010-05-14
1939,3,2018-08-18
1614,3,2013-09-14
719,3,2016-11-06
1406,1,2004-01-05
1896,1,2015-12-09
1682,1,2014-07-04
1891,3,2010-10-14
1035,3,2009-03-23
214,2,2002-10-02
1506,1,2002-03-18
404,1,2007-09-19
445,1,2021-10-14
900,1,2023-10-08
82,3,2013-08-02
468,1,2022-02-16
622,1,2017-06-08
583,2,2017-12-14
1872,1,2007-02-20
943,2,2023-10-16
549,2,2022-05-11
1597,2,2019-11-27
1199,1,2019-10-18
1497,2,2006-05-27
1201,1,2005-08-14
107,3,2021-11-20
1247,2,2018-01-21
1694,1,2004-05-15
897,3,2000-08-13
1393,1,2017-05-04
589,3,2006-07-11
851,3,2011-07-05
142,1,2005-08-23
653,3,2005-10-31
1213,2,2022-07-10
859,1,2019-06-29
1599,2,2001-08-09
1489,3,2001-09-04
1523,1,2002-07-22
569,1,2015-01-19
1058,2,2023-12-01
200,1,2000-06-02
529,2,2022-04-27
1463,1,2005-02-21
102,3,2022-07-13
1018,3,2014-11-02
1547,3,2013-03-05
128,2,2001-06-28
116,2,2020-07-29
1871,3,2002-08-26
1505,3,2002-02-17
1246,1,2007-09-06
1425,2,2018-12-26
1063,3,2001-02-27
1838,3,2022-07-26
1686,3,2008-09-29
19,2,2005-09-12
1906,1,2016-11-15
938,1,2019-02-15
19,1,2019-06-09
1089,1,2010-09-30
1928,2,2002-10-15
609,1,2002-11-23
661,2,2017-12-14
934,2,2014-10-31
1848,2,2002-04-04
1390,3,2022-07-12
190,1,2000-08-05
1630,3,2000-09-22
1630,2,2012-03-02
1778,1,2007-10-04
1787,2,2018-09-19
753,1,2019-03-29
1218,1,2015-09-02
1844,1,2019-07-27
762,2,2015-12-26
670,1,2023-07-21
1365,2,2015-01-23
248,1,2017-08-14
783,1,2023-08-22
1009,2,2014-07-19
1093,2,2003-09-25
900,1,2009-01-08
639,1,2014-02-10
1664,2,2000-02-25
1826,2,2001-01-22
237,3,2006-04-28
1507,3,2015-03-22
1380,3,2014-08-09
1982,3,2004-01-14
61,2,2005-11-11
897,3,2023-11-22
1899,2,2018-05-02
1043,3,2005-05-17
1967,1,2010-08-27
1163,3,2001-06-28
9,1,2001-11-22
183,3,2001-01-02
1014,1,2003-10-28
914,3,2006-08-20
1238,2,2010-03-01
302,3,2017-01-25
1721,3,2010-08-09
444,3,2017-10-18
1459,1,2019-06-17
1793,2,2022-06-01
677,1,2014-01-18
1800,1,2013-09-13
748,1,2006-03-09
1512,1,2011-07-15
843,2,2018-10-02
1187,1,2013-05-12
1631,2,2000-10-21
736,2,2007-08-26
1252,3,2013-09-02
376,3,2013-08-23
1993,2,2017-10-04
833,3,2000-09-25
1488,3,2006-01-06
1634,1,2011-04-02
794,1,2015-11-29
829,1,2001-02-10
1861,3,2013-10-11
1845,1,2012-10-14
1180,3,2014-11-20
225,3,2013-06-20
1709,3,2023-08-10
1438,1,2017-08-06
1284,3,2002-10-02
760,2,2023-07-01
313,2,2010-08-16
1968,2,2021-12-04
987,1,2007-03-11
1612,1,2004-10-27
1352,1,2020-03-18
699,1,2017-04-18
269,3,2015-01-01
1310,3,2004-10-07
1897,2,2017-11-27
847,3,2023-10-30
256,2,2010-01-15
1521,3,2003-02-24
162,1,2002-01-02
1377,1,2013-11-03
1589,2,2004-08-08
1248,2,2000-01-04
1617,3,2018-03-07
943,2,2012-12-03
1112,1,2005-11-17
875,2,2020-04-15
686,3,2001-09-02
1938,2,2006-10-18
226,2,2019-04-08
1962,2,2016-07-28
237,3,2023-02-24
1199,2,2007-12-25
1193,2,2004-09-08
1897,1,2019-03-11
447,2,2020-02-28
131,1,2008-09-30
1885,2,2022-05-25
299,2,2003-05-25
1133,2,2003-08-05
1797,1,2007-04-23
1532,3,2023-01-05
1364,1,2020-12-06
1315,1,2016-06-09
1030,1,2013-05-12
1757,2,2000-02-19
966,2,2005-11-25
629,1,2008-03-07
757,1,2006-07-01
1719,2,2017-03-13
1086,2,2016-12-04
829,1,2012-05-10
1328,3,2014-07-31
486,3,2006-12-21
517,3,2023-06-04
1001,3,2014-04-12
1957,1,2003-02-25
399,2,2018-10-08
689,2,2003-07-05
869,1,2005-05-26
1268,2,2005-11-02
1562,3,2020-12-08
1995,1,2020-06-18
1061,3,2002-03-02
1412,2,2002-01-28
357,1,2003-04-30
1181,3,2000-11-17
746,1,2007-07-10
1932,1,2004-08-16
665,1,2016-11-25
1399,3,2022-05-05
749,1,2020-05-14
534,3,2013-04-29
808,3,2005-07-08
7,2,2005-12-25
668,3,2003-09-20
274,2,2005-10-27
1508,1,2021-05-24
1208,3,2001-11-10
1779,1,2008-01-05
165,2,2005-09-16
1009,1,2006-01-10
1580,2,2007-01-14
1193,1,2004-09-09
1071,1,2013-06-30
1847,3,2019-04-16
1836,2,2014-06-20
1805,3,2017-06-05
100,3,2005-02-02
974,3,2001-02-21
1208,1,2011-02-28
772,3,2018-01-11
93,1,2006-05-20
930,1,2020-12-08
486,1,2018-09-16
206,2,2008-08-10
1662,3,2001-05-27
1146,2,2006-12-29
172,1,2011-04-22
77,3,2022-05-18
1440,1,2013-02-07
1599,1,2008-07-31
639,1,2014-05-08
454,2,2019-12-27
1976,2,2000-12-17
1705,2,2019-09-06
63,2,2016-05-03
1161,3,2019-05-17
564,3,2001-06-27
1835,3,2011-01-28
1646,3,2001-02-06
1382,1,2017-02-20
1646,3,2001-08-02
558,3,2022-05-04
456,3,2012-10-28
1833,3,2016-01-12
1204,2,2001-10-10
956,3,2002-12-22
1008,1,2021-10-25
461,1,2005-05-08
1613,1,2003-07-09
1099,2,2008-08-19
310,3,2015-07-06
980,2,2004-04-11
1025,1,2022-09-28
1345,1,2004-02-11
273,1,2017-02-02
726,2,2021-05-18
1568,3,2002-01-29
97,2,2003-05-25
92,2,2019-11-01
1229,1,2016-10-21
1905,2,2011-09-16
1717,2,2004-08-22
675,1,2022-09-20
1424,2,2015-03-08
353,3,2000-05-14
1388,1,2000-04-01
987,3,2001-09-10
1222,2,2011-10-19
972,3,2002-04-05
77,1,2005-07-03
1909,3,2009-01-17
807,1,2005-04-06
1480,1,2014-12-27
268,3,2007-07-14
819,1,2018-06-22
999,1,2001-11-12
580,2,2006-01-01
809,1,2018-10-25
1680,1,2004-11-04
1249,1,2016-07-24
1135,3,2014-07-09
1422,3,2007-06-05
1297,3,2022-04-19
1502,3,2009-05-16
1165,1,2000-08-13
1894,1,2017-12-31
1782,2,2008-09-12
348,3,2007-05-02
931,1,2006-04-04
139,1,2017-12-28
416,2,2004-04-21
381,3,2023-03-31
1074,3,2015-11-06
1014,2,2003-12-21
1461,1,2008-03-09
149,3,2010-10-01
36,1,2021-10-04
380,2,2017-07-04
215,1,2009-03-11
1979,3,2003-11-20
1914,1,2022-01-22
138,3,2000-09-01
522,1,2019-12-13
1815,3,2008-10-18
248,1,2001-06-01
1803,2,2011-04-15
825,1,2010-10-17
1217,3,2012-01-27
1888,3,2007-08-02
973,3,2006-05-11
1828,2,2021-08-09
1208,3,2019-10-25
1169,3,2003-09-20
1337,2,2008-06-04
1408,3,2004-03-30
312,2,2022-11-06
102,2,2007-09-30
692,1,2003-05-03
881,1,2023-07-16
1092,2,2022-12-23
1777,2,2022-04-24
799,1,2003-05-14
24,3,2002-04-12
491,1,2016-10-01
694,1,2021-11-14
1662,2,2011-09-13
1989,3,2002-08-11
1599,2,2021-02-09
1627,3,2001-02-24
1377,3,2011-07-14
1435,2,2006-10-06
266,3,2004-03-28
350,3,2015-01-26
1127,1,2017-07-04
263,1,2006-06-14
1042,1,2013-04-05
1120,3,2017-08-27
685,2,2002-06-15
135,1,2017-04-21
1120,1,2020-05-09
295,3,2003-11-09
1912,3,2012-12-19
387,1,2022-06-20
1238,1,2004-12-01
857,2,2008-04-29
1275,2,2006-10-22
1781,1,2005-05-21
1595,2,2009-07-10
1968,1,2000-12-10
1957,3,2017-10-12
422,1,2015-09-12
536,2,2019-09-06
1450,3,2009-08-23
892,1,2016-07-22
509,3,2021-02-09
235,3,2013-01-26
1588,1,2012-05-03
470,2,2005-09-13
1882,2,2022-02-27
701,1,2023-05-02
1608,3,2023-06-04
1453,2,2011-09-14
1210,3,2001-07-31
1599,1,2006-01-31
947,1,2019-07-02
213,1,2021-04-13
1173,3,2000-04-19
854,3,2002-04-08
438,1,2021-11-08
556,3,2000-10-17
1121,1,2016-08-14
806,2,2011-01-07
979,1,2001-11-23
279,3,2011-03-14
1055,2,2018-01-28
55,2,2016-03-17
241,3,2011-12-04
1246,3,2012-08-05
1457,3,2002-11-25
363,1,2005-12-08
749,1,2017-07-05
1728,1,2006-12-19
151,3,2022-09-08
34,3,2015-12-20
684,3,2010-01-10
1520,1,2009-07-17
1870,2,2022-02-07
101,1,2018-10-31
1871,1,2000-01-27
179,3,2000-07-23
863,1,2023-01-14
1865,3,2008-08-27
736,2,2008-11-03
380,1,2018-05-05
1925,1,2000-04-01
1643,3,2021-07-15
403,2,2005-08-07
1687,2,2020-12-03
857,3,2014-12-03
1752,1,2001-10-18
656,1,2013-08-15
204,2,2016-02-17
978,1,2011-04-17
1763,3,2006-02-13
1918,2,2002-01-25
1358,1,2004-05-04
1126,3,2022-05-19
1479,2,2012-06-20
21,2,2009-08-05
125,2,2013-05-04
639,1,2010-10-28
395,1,2019-10-19
1902,1,2012-12-20
1736,2,2020-06-04
431,1,2009-09-07
302,2,2020-08-03
1623,2,2008-02-26
1124,3,2015-11-15
311,3,2019-08-20
174,1,2001-05-03
1028,2,2007-06-01
213,2,2005-04-07
1738,1,2019-05-11
394,2,2017-01-25
772,2,2003-10-09
122,3,2011-09-16
209,3,2014-02-15
25,3,2012-12-21
709,1,2014-04-21
513,2,2012-01-16
1127,1,2000-01-04
231,3,2014-09-25
421,2,2016-12-27
58,2,2010-03-17
847,2,2002-11-05
788,3,2018-05-29
1774,3,2004-02-28
861,3,2005-08-21
466,3,2017-03-01
1888,2,2013-11-11
923,2,2007-03-24
931,3,2007-06-15
1540,3,2005-05-06
299,2,2008-01-10
830,3,2016-05-05
173,1,2009-11-30
1467,1,2005-09-10
163,2,2022-10-18
1120,3,2019-05-02
615,2,2007-04-17
459,2,2008-11-10
1568,3,2003-09-14
816,2,2008-02-19
430,1,2022-09-30
1820,2,2008-02-18
18,1,2023-11-22
1680,3,2007-09-22
202,1,2006-10-16
1924,1,2000-09-20
200,3,2004-11-10
651,2,2015-05-05
1322,1,2018-03-03
543,3,2000-02-27
838,1,2020-03-10
330,2,2007-05-24
241,1,2021-08-27
827,3,2000-05-28
480,3,2011-08-06
1378,1,2013-11-03
646,3,2022-04-30
332,1,2013-05-24
1150,2,2002-06-01
971,3,2021-06-04
105,2,2006-01-16
1331,2,2001-03-09
889,3,2018-08-17
1698,2,2000-03-31
579,3,2009-04-03
727,3,2008-11-16
523,3,2023-10-27
352,1,2020-10-18
393,2,2010-02-15
1784,3,2000-12-29
622,3,2014-02-22
1728,2,2017-06-18
1030,2,2014-02-03
488,1,2007-03-21
1766,1,2006-12-29
1109,3,2000-11-21
449,1,2001-10-11
1522,1,2014-11-23
1244,1,2016-12-27
1118,1,2008-02-25
41,3,2013-10-22
1800,2,2020-02-13
390,2,2019-07-04
1287,1,2004-08-19
760,1,2017-02-27
1864,3,2010-06-27
364,3,2022-02-22
1036,1,2020-09-08
1366,3,2005-09-05
634,3,2012-04-28
346,2,2016-10-28
1385,1,2021-01-05
1263,3,2006-05-06
1586,3,2001-09-10
1388,1,2001-08-02
766,3,2018-08-08
1285,3,2021-11-24
404,2,2011-04-14
1873,1,2013-05-05
1394,1,2023-03-11
1793,3,2012-06-21
647,3,2000-08-22
1744,2,2019-03-16
1425,1,2002-11-20
1321,3,2018-04-16
1214,1,2014-04-15
229,3,2022-05-11
1618,2,2008-07-09
26,3,2022-09-25
1229,3,2001-06-17
718,2,2000-12-04
1664,1,2008-07-30
1475,1,2012-11-14
1594,2,2023-02-07
1898,2,2009-05-20
305,3,2016-01-14
907,2,2016-01-19
1577,3,2019-12-27
1999,2,2004-03-20
1949,2,2011-08-20
1534,3,2023-09-09
448,2,2007-09-14
1532,2,2022-05-07
431,3,2008-11-05
240,1,2008-12-11
654,2,2021-10-26
1897,1,2006-02-11
1743,1,2004-01-28
1241,3,2021-03-25
322,2,2009-04-25
1275,3,2003-02-06
34,2,2010-04-22
698,2,2004-01-27
308,2,2014-01-17
1461,1,2021-08-07
1757,2,2015-03-08
1242,3,2020-11-24
258,2,2021-03-24
554,1,2015-10-30
1846,3,2008-08-17
224,3,2023-06-26
1059,2,2018-08-14
1861,3,2005-06-29
1028,1,2014-02-13
1619,3,2022-04-02
1436,1,2018-09-11
1860,3,2023-03-14
706,1,2020-01-26
869,2,2016-07-14
1665,3,2013-05-02
123,1,2018-12-06
656,3,2022-02-05
416,2,2007-03-26
1718,2,2000-01-25
1401,1,2021-04-29
1871,1,2010-11-05
736,2,2005-05-03
718,1,2011-08-12
903,1,2009-09-28
113,2,2019-09-26
901,2,2016-08-08
1679,2,2007-06-10
67,1,2009-06-14
931,1,2020-06-25
149,3,2023-04-19
2000,1,2002-01-28
702,2,2009-12-21
412,1,2018-06-12
557,3,2014-09-11
1970,1,2014-01-07
914,3,2009-04-19
445,1,2010-04-16
100,3,2007-01-05
648,2,2012-12-17
424,1,2002-10-23
1437,1,2021-02-06
775,3,2000-09-12
950,2,2017-12-06
1190,3,2016-04-12
170,1,2018-03-12
406,2,2023-08-25
